track_name,title,artist,album,bpm,genre,duration,extension,full_file_name
Gone - Long Island Sound (Original Mix) 137,Long Island Sound (Original Mix) 137,Gone,,137,,05:02,.mp3,Gone - Long Island Sound (Original Mix) 137.mp3
High Priestesses (Neo Trance) - Oona Dahl (Neo Trance) 147,Oona Dahl (Neo Trance) 147,High Priestesses (Neo Trance),,147,,06:28,.mp3,High Priestesses (Neo Trance) - Oona Dahl (Neo Trance) 147.mp3
Human Nature - Anastasia Zems (Original Mix) 143,Anastasia Zems (Original Mix) 143,Human Nature,,143,,05:02,.mp3,Human Nature - Anastasia Zems (Original Mix) 143.mp3
"Humanizer - Cadence, Curiosity Pill (Original Mix) 150","Cadence, Curiosity Pill (Original Mix) 150",Humanizer,,150,,06:15,.mp3,"Humanizer - Cadence, Curiosity Pill (Original Mix) 150.mp3"
I Know - Wigs (Match Box Remix) 143,Wigs (Match Box Remix) 143,I Know,,143,,06:10,.mp3,I Know - Wigs (Match Box Remix) 143.mp3
If You Were Also Here - Gaston Fiore (Original Mix) 156,Gaston Fiore (Original Mix) 156,If You Were Also Here,,156,,06:25,.mp3,If You Were Also Here - Gaston Fiore (Original Mix) 156.mp3
Inhabited Island - Otto K (Lawn Jarre Club Mix) 104,Otto K (Lawn Jarre Club Mix) 104,Inhabited Island,,104,,06:13,.mp3,Inhabited Island - Otto K (Lawn Jarre Club Mix) 104.mp3
Interplanetary Fugitives - Ness (Hydrous Remix) 130,Ness (Hydrous Remix) 130,Interplanetary Fugitives,,130,,07:28,.mp3,Interplanetary Fugitives - Ness (Hydrous Remix) 130.mp3
"It Could Be Us - Rev, Curiosity Pill, Sonia Michigan (Original Mix) 98","Rev, Curiosity Pill, Sonia Michigan (Original Mix) 98",It Could Be Us,,98,,05:44,.mp3,"It Could Be Us - Rev, Curiosity Pill, Sonia Michigan (Original Mix) 98.mp3"
Kaleidoscope Skies - Coredata (Extended Mix) 132,Coredata (Extended Mix) 132,Kaleidoscope Skies,,132,,08:00,.mp3,Kaleidoscope Skies - Coredata (Extended Mix) 132.mp3
Kaskade - Schiela (Abdul Raeva Remix) 134,Schiela (Abdul Raeva Remix) 134,Kaskade,,134,,07:08,.mp3,Kaskade - Schiela (Abdul Raeva Remix) 134.mp3
Late Nite Visions - Wigs (Original Mix) 136,Wigs (Original Mix) 136,Late Nite Visions,,136,,05:45,.mp3,Late Nite Visions - Wigs (Original Mix) 136.mp3
Lichtblick - Ost Fox (Original Mix) 135,Ost Fox (Original Mix) 135,Lichtblick,,135,,06:57,.mp3,Lichtblick - Ost Fox (Original Mix) 135.mp3
Like A Plucked Flower - Ness (Mikkel Rev Remix) 136,Ness (Mikkel Rev Remix) 136,Like A Plucked Flower,,136,,06:50,.mp3,Like A Plucked Flower - Ness (Mikkel Rev Remix) 136.mp3
